MSG_TYPE,ERR_CODE,ERR_MSG,TRANSACTION_ID,SCN_KEY,SCN_NAME,LATITUDE,LONGITUDE,DISTANCE,UD_KEY,UD_TRN_X,UD_TRN_Y,UD_TRN_Z,UD_ROT_X,UD_ROT_Y,UD_ROT_Z
4,100,Test,123456,abcdefg,Test Scene 1,124.0,122.0,100.0,Ud_123,1.0,1.0,1.0,1.0,1.0,1.0
4,100,Test,123457,bcdefgh,Test Scene 2,124.0,122.0,100.0,Ud_1234,1.0,1.0,1.0,1.0,1.0,1.0
4,100,Test,123458,cdefghi,Test Scene 3,124.0,122.0,100.0,Ud_1235,1.0,1.0,1.0,1.0,1.0,1.0
4,100,Test,123459,defghij,Test Scene 4,124.0,122.0,100.0,Ud_1236,1.0,1.0,1.0,1.0,1.0,1.0
4,100,Test,123460,efghijk,Test Scene 5,124.0,122.0,100.0,Ud_1237,1.0,1.0,1.0,1.0,1.0,1.0
4,100,Test,123461,fghijkl,Test Scene 6,124.0,122.0,100.0,Ud_128,1.0,1.0,1.0,1.0,1.0,1.0
4,100,Test,123462,ghijklm,Test Scene 7,124.0,122.0,100.0,Ud_129,1.0,1.0,1.0,1.0,1.0,1.0
4,100,Test,123463,hijklmn,Test Scene 8,124.0,122.0,100.0,Ud_130,1.0,1.0,1.0,1.0,1.0,1.0
4,100,Test,123464,ijklmno,Test Scene 9,124.0,122.0,100.0,Ud_131,1.0,1.0,1.0,1.0,1.0,1.0
4,100,Test,123465,jklmnop,Test Scene 10,124.0,122.0,100.0,Ud_132,1.0,1.0,1.0,1.0,1.0,1.0
